country,iso,cid,cowcode,leader,start_yr,end_yr,tenure_yrs,auth_type,gwf_type,regime_vdem_type,is_also_populist
Japan,JPN,30,740,Katsura,1901,1906,5,Closed (unclassified),NA,Closed autocracy,0
Latvia,LVA,31,367,Ulmanis,1934,1940,6,Closed (unclassified),NA,Closed autocracy,0
Lithuania,LTU,32,368,Smetona,1926,1940,14,Closed (unclassified),NA,Closed autocracy,0
Malaysia,MYS,34,820,Rahman,1957,1970,13,Single-party,party-based,Closed autocracy,0
Malaysia,MYS,34,820,Razak,1970,1976,6,Single-party,party-based,Closed autocracy,0
Mexico,MEX,36,70,Carranza,1915,1920,5,Closed (unclassified),NA,Closed autocracy,0
Paraguay,PRY,40,150,Higinio Morínigo,1940,1948,8,Personalist,personal,Closed autocracy,0
Paraguay,PRY,40,150,Chavez,1949,1954,5,Single-party,party-based,Closed autocracy,0
Paraguay,PRY,40,150,Stroessner,1954,1989,35,Military-personal,party-based+party-personal-military,Closed autocracy,0
Peru,PER,41,135,Leguia,1919,1930,11,Closed (unclassified),NA,Closed autocracy,0
Peru,PER,41,135,Benavidez,1933,1939,6,Closed (unclassified),NA,Closed autocracy,0
Peru,PER,41,135,Odria,1948,1956,8,Military-personal,military-personal,Closed autocracy,0
Peru,PER,41,135,Ugarteche,1956,1962,6,Military-personal,military-personal,Electoral autocracy,0
Peru,PER,41,135,Velasco Alvarado,1968,1975,7,Military,military,Closed autocracy,0
Peru,PER,41,135,Morales Bermudez,1975,1980,5,Military,military,Closed autocracy,0
Peru,PER,41,135,Fujimori,1990,2000,10,Personalist,personal,Closed autocracy,0
Philippines,PHL,42,840,Marcos,1965,1986,21,Personalist,personal,Closed autocracy,0
Poland,POL,43,290,Pildsudski,1926,1935,9,Closed (unclassified),NA,Closed autocracy,0
Poland,POL,43,290,Bierut,1944,1956,12,Single-party,party-based,Closed autocracy,0
Poland,POL,43,290,Gomulka,1956,1970,14,Single-party,party-based,Closed autocracy,0
Poland,POL,43,290,Gierek,1970,1980,10,Single-party,party-based,Closed autocracy,0
Poland,POL,43,290,Jaruzelski,1981,1990,9,Single-party,party-based,Closed autocracy,0
Portugal,PRT,44,235,Carmona,1926,1932,6,Closed (unclassified),NA,Closed autocracy,0
Portugal,PRT,44,235,Salazar,1932,1968,36,Personalist,personal,Closed autocracy,0
Portugal,PRT,44,235,Caetano,1968,1974,6,Personalist,personal,Closed autocracy,0
Russia,RUS,46,365,Lenin,1917,1923,6,Closed (unclassified),NA,Closed autocracy,0
Russia,RUS,46,365,Stalin,1923,1953,30,Single-party,party-based,Closed autocracy,0
Russia,RUS,46,365,Khrushchev,1953,1964,11,Single-party,party-based,Closed autocracy,0
Russia,RUS,46,365,Brezhnev,1964,1982,18,Single-party,party-based,Closed autocracy,0
Russia,RUS,46,365,Gorbachev,1985,1991,6,Single-party,party-based,Closed autocracy,0
Russia,RUS,46,365,Yeltsin,1991,1999,8,Personalist,party-based+personal,Electoral autocracy,0
Russia,RUS,46,365,Putin,2000,2025,25,Personalist,personal,Electoral autocracy,0
South Africa,ZAF,49,560,Botha,1978,1989,11,Oligarchy,oligarchy,Closed autocracy,0
South Africa,ZAF,49,560,deKlerk,1989,1994,5,Oligarchy,oligarchy,Closed autocracy,0
South Korea,KOR,50,732,Rhee,1948,1960,12,Personalist,personal,Electoral autocracy,0
South Korea,KOR,50,732,Hee Park,1961,1979,18,Military,military,Electoral autocracy,0
South Korea,KOR,50,732,Chun Doo Hwan,1980,1988,8,Military,military,Electoral autocracy,0
Spain,ESP,51,230,de Rivera,1923,1930,7,Closed (unclassified),NA,Closed autocracy,0
Spain,ESP,51,230,Franco,1939,1975,36,Personalist,personal,Closed autocracy,0
Taiwan,TWN,54,713,Chiang Kai-shek,1950,1975,25,Single-party,party-based,Closed autocracy,0
Taiwan,TWN,54,713,Chiang Ching-Kuo,1978,1988,10,Single-party,party-based,Closed autocracy,0
Taiwan,TWN,54,713,Lee Teng-Hui,1988,2000,12,Single-party,party-based,Closed autocracy,0
Thailand,THA,55,800,Rama VI,1910,1925,15,Closed (unclassified),NA,Closed autocracy,0
Thailand,THA,55,800,Rama VII,1925,1932,7,Closed (unclassified),NA,Closed autocracy,0
Thailand,THA,55,800,Plaek Pibulsongkram,1947,1957,10,Military-personal,personal+military-personal,Closed autocracy,0
Thailand,THA,55,800,Sarit,1958,1963,5,Military-personal,military-personal,Closed autocracy,0
Thailand,THA,55,800,Thanon Kittakachorn,1963,1973,10,Military-personal,military-personal,Closed autocracy,0
Thailand,THA,55,800,Prem,1980,1988,8,Military-personal,military-personal,Electoral autocracy,0
Turkey,TUR,56,640,Enver Pasha,1913,1918,5,Closed (unclassified),NA,Closed autocracy,0
Turkey,TUR,56,640,Ataturk,1922,1938,16,Closed (unclassified),NA,Closed autocracy,0
Turkey,TUR,56,640,Inonu,1938,1950,12,Single-party,party-based,Closed autocracy,0
Turkey,TUR,56,640,Menderes,1950,1960,10,Single-party,party-based,Closed autocracy,0
Turkey,TUR,56,640,Demirel,1965,1971,6,Closed (unclassified),NA,Closed autocracy,0
Turkey,TUR,56,640,Ozal,1983,1989,6,Military,military,Electoral autocracy,0
Uruguay,URY,59,165,Terra,1931,1938,7,Closed (unclassified),NA,Closed autocracy,0
Uruguay,URY,59,165,Mendez Manfredini,1976,1981,5,Military,military,Closed autocracy,0
Venezuela,VEN,60,101,Gomez,1908,1935,27,Closed (unclassified),NA,Closed autocracy,0
Venezuela,VEN,60,101,Lopez Contreras,1935,1941,6,Closed (unclassified),NA,Closed autocracy,0
Venezuela,VEN,60,101,Perez Jimenez,1950,1958,8,Military-personal,military-personal,Closed autocracy,0
Venezuela,VEN,60,101,Hugo Chavez,1999,2012,13,Personalist,personal,Electoral autocracy,1
